Num_Satelites,Num_Telescopios,ID_Detector,Altura_nominal_km,Diametro_Pupila_mm,Factor_inferior,Factor_reset,T_ciclo_dias,N_impulsos,DeltaV_ciclo_ms,DeltaV_total_ms,Propelente_sin_margen_kg,Propelente_final_kg,Masa_seca_kg,Area_frontal_m2,Masa_total_satelite_kg
3,1,1,810,60,0.98,1.02,8219.86852783783,0,16.7831171859507,0,0,0,8.7696,0.230976854271769,8.7696
3,1,1,910,67,0.98,1,10547.10444102,0,9.25149472054545,0,0,0,12.2109778,0.288015305229436,12.2109778
3,1,1,910,67,0.98,1.02,22246.8478677267,0,18.4683776041875,0,0,0,12.2109778,0.288015305229436,12.2109778
3,1,1,960,71,0.98,1,15515.3459617728,0,9.66110164367819,0,0,0,14.5311866,0.323431756217774,14.5311866
3,1,1,960,71,0.98,1.02,32743.9222827668,0,19.2843351393212,0,0,0,14.5311866,0.323431756217774,14.5311866
3,1,1,970,72,0.98,1,16780.1097706523,0,9.74199075642082,0,0,0,15.1538688,0.332606670151347,15.1538688
3,1,1,970,72,0.98,1.02,35433.4812311859,0,19.4454515077396,0,0,0,15.1538688,0.332606670151347,15.1538688
3,1,1,990,73,0.98,1,19344.9363635182,0,9.90275076111811,0,0,0,15.7940902,0.341909904559516,15.7940902
3,1,1,990,73,0.98,1.02,40800.1822613522,0,19.7656376034229,0,0,0,15.7940902,0.341909904559516,15.7940902
3,1,2,810,44,0.98,1,2814.55882338059,1,8.40575099581929,8.40575099581929,0.0135009253326535,0.0148510178659188,3.4584704,0.124214219408374,3.47332141786592
3,1,2,810,44,0.98,1.02,6027.90358708107,0,16.7831171859507,0,0,0,3.4584704,0.124214219408374,3.4584704
3,1,2,910,49,0.98,1,7713.55399417883,0,9.25149472054545,0,0,0,4.7765494,0.15404872975181,4.7765494
3,1,2,910,49,0.98,1.02,16270.0827689344,0,18.4683776041875,0,0,0,4.7765494,0.15404872975181,4.7765494
3,1,2,960,52,0.98,1,11363.3519720026,0,9.66110164367819,0,0,0,5.7086848,0.173489281653018,5.7086848
3,1,2,960,52,0.98,1.02,23981.4642070968,0,19.2843351393212,0,0,0,5.7086848,0.173489281653018,5.7086848
3,1,2,970,53,0.98,1,12352.0252478413,0,9.74199075642082,0,0,0,6.0444062,0.180226106569277,6.0444062
3,1,2,970,53,0.98,1.02,26082.9792396229,0,19.4454515077396,0,0,0,6.0444062,0.180226106569277,6.0444062
3,1,2,990,54,0.98,1,14309.9529264381,0,9.90275076111811,0,0,0,6.3930384,0.187091251960133,6.3930384
3,1,2,990,54,0.98,1.02,30180.9567412742,0,19.7656376034229,0,0,0,6.3930384,0.187091251960133,6.3930384
3,1,3,810,49,0.98,1,3134.3950533102,0,8.40575099581929,0,0,0,4.7765494,0.15404872975181,4.7765494
3,1,3,810,49,0.98,1.02,6712.89263106756,0,16.7831171859507,0,0,0,4.7765494,0.15404872975181,4.7765494
3,1,3,910,55,0.98,1,8658.07080979257,0,9.25149472054545,0,0,0,6.754825,0.194084717825584,6.754825
3,1,3,910,55,0.98,1.02,18262.3378018652,0,18.4683776041875,0,0,0,6.754825,0.194084717825584,6.754825
3,1,3,960,58,0.98,1,12674.5079687722,0,9.66110164367819,0,0,0,7.9215472,0.215835038269509,7.9215472
3,1,3,960,58,0.98,1.02,26748.5562309926,0,19.2843351393212,0,0,0,7.9215472,0.215835038269509,7.9215472
3,1,3,970,58,0.98,1,13517.310648581,0,9.74199075642082,0,0,0,7.9215472,0.215835038269509,7.9215472
3,1,3,970,58,0.98,1.02,28543.6376584553,0,19.4454515077396,0,0,0,7.9215472,0.215835038269509,7.9215472
3,1,3,990,60,0.98,1,15899.9476960423,0,9.90275076111811,0,0,0,8.7696,0.230976854271769,8.7696
3,1,3,990,60,0.98,1.02,33534.3963791936,0,19.7656376034229,0,0,0,8.7696,0.230976854271769,8.7696
