Es_Viable,Num_Satelites,Num_Telescopios,Detectores_Necesarios,ID_Detector,Tipo_Telescopio,Altura_km,Diametro_Pupila_mm,Swath_Requerido_km,Dias_Cobertura,Swath_Real_Sistema_km,Excedente_Swath_km,Excedente_Swath_porc,Inclinacion_SSO_deg,LTAN_h,Desfase_Anomalia_Verdadera_deg,MTF_a_Nyquist_lambda2,SNR_lambda3,Longitud_Focal_m,Relacion_Focal_f_num,Masa_Instrumento_kg,Longitud_Instrumento_m,Area_Instrumento_m2,Volumen_Instrumento_m3,Potencia_Electrica_Instrumento_W,Masa_Seca_Satelite_kg,Masa_Combustible_kg,Masa_Total_Satelite_kg,Masa_Total_Constelacion_kg,Num_Impulsos_Mantenimiento,DeltaV_Total_ms,Masa_Seca_TM_kg,Masa_Seca_SEOSAT_kg,Longitud_Satelite_m,Area_Satelite_m2,Volumen_Satelite_m3,Estandar_U
0,1,1,NaN,3,Refractivo,540,33,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4590422,0.3661323436522,1.8251745436522,1.8251745436522,71,421.171480392222,1.07811,1.8399744,0.264330282822854,0.0698704984172101,0.0184688886075949,18.4688886075949
0,1,2,NaN,2,Refractivo,520,28,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3368768,0.491405905813753,1.82828270581375,1.82828270581375,103,590.902779694601,0.65856,1.1239424,0.256736785017976,0.0659137767813664,0.0169224911392405,16.9224911392405
0,1,1,NaN,3,Refractivo,560,34,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5957424,0.276823713861324,1.87256611386132,1.87256611386132,49,300.142627970326,1.17912,2.0123648,0.272340291393244,0.0741692343161569,0.020199270886076,20.1992708860759
0,1,2,NaN,2,Refractivo,500,27,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1986947,0.675367775967364,1.87406247596736,1.87406247596736,153,847.638927571763,0.59049,1.0077696,0.247567614124477,0.0612897235632858,0.0151733506329114,15.1733506329114
0,1,1,NaN,3,Refractivo,490,30,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0962,0.785704879139303,1.8819048791393,1.8819048791393,189,1028.36281573907,0.81,1.3824,0.240300257111686,0.0577442135679422,0.0138759493670886,13.8759493670886
0,1,1,NaN,3,Refractivo,480,29,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9901934,0.920326943071035,1.91052034307103,1.91052034307103,235,1255.27233670522,0.73167,1.2487168,0.232290248541296,0.0539587595673771,0.0125340936708861,12.5340936708861
0,1,2,NaN,2,Refractivo,530,29,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4852901,0.441359696730885,1.92664979673088,1.92664979673088,84,490.112344561603,0.73167,1.2487168,0.265905955911475,0.0707059773891953,0.0188011405063291,18.8011405063291
0,1,2,NaN,2,Refractivo,510,28,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3368768,0.592182020425913,1.92905882042591,1.92905882042591,123,693.564850254564,0.65856,1.1239424,0.256736785017976,0.0659137767813664,0.0169224911392405,16.9224911392405
0,1,1,NaN,3,Refractivo,580,35,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.740725,0.205001249196627,1.94572624919663,1.94572624919663,33,208.462311295232,1.28625,2.1952,0.280350299963633,0.0785962906896992,0.0220344936708861,22.0344936708861
0,1,1,NaN,2,Refractivo,670,36,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8942336,0.0515753446378106,1.94580894463781,1.94580894463781,7,50.1144081584634,1.39968,2.3887872,0.288360308534023,0.0831516675378368,0.0239776405063291,23.9776405063291
0,1,1,NaN,2,Refractivo,660,36,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8942336,0.0656762303990223,1.95990983039902,1.95990983039902,9,63.6052215029049,1.39968,2.3887872,0.288360308534023,0.0831516675378368,0.0239776405063291,23.9776405063291
0,1,2,NaN,2,Refractivo,550,30,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6443,0.330168526784278,1.97446852678428,1.97446852678428,57,343.646629912301,0.81,1.3824,0.275075126804974,0.0756663253867726,0.0208139240506329,20.8139240506329
0,1,1,NaN,3,Refractivo,570,35,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.740725,0.247193424226029,1.98791842422603,1.98791842422603,40,248.856379836943,1.28625,2.1952,0.280350299963633,0.0785962906896992,0.0220344936708861,22.0344936708861
0,1,2,NaN,2,Refractivo,490,27,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1986947,0.824755550979781,2.02345025097978,2.02345025097978,183,995.71637714418,0.59049,1.0077696,0.247567614124477,0.0612897235632858,0.0151733506329114,15.1733506329114
0,1,2,NaN,2,Refractivo,480,26,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0703784,0.961150550308466,2.03152895030847,2.03152895030847,229,1223.22283023615,0.52728,0.8998912,0.238398443230978,0.0568338177349537,0.0135490936708861,13.5490936708861
0,1,2,NaN,2,Refractivo,540,30,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6443,0.393417135851938,2.03771713585194,2.03771713585194,68,403.375502347481,0.81,1.3824,0.275075126804974,0.0756663253867726,0.0208139240506329,20.8139240506329
0,1,1,NaN,3,Refractivo,600,36,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8942336,0.157842509759294,2.05207610975929,2.05207610975929,23,149.66216631797,1.39968,2.3887872,0.288360308534023,0.0831516675378368,0.0239776405063291,23.9776405063291
0,1,2,NaN,2,Refractivo,570,31,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8142719,0.250808026259185,2.06507992625918,2.06507992625918,39,242.63497034102,0.89373,1.5252992,0.284244297698473,0.0807948207740983,0.0229654670886076,22.9654670886076
0,1,1,NaN,3,Refractivo,590,36,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8942336,0.183656118414581,2.07788971841458,2.07788971841458,27,173.130823659846,1.39968,2.3887872,0.288360308534023,0.0831516675378368,0.0239776405063291,23.9776405063291
0,1,1,NaN,2,Refractivo,680,37,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0565118,0.0485298442018033,2.1050416442018,2.1050416442018,6,43.5045471835892,1.51959,2.5934336,0.296370317104412,0.0878353648605699,0.0260317949367089,26.0317949367089
0,1,2,NaN,2,Refractivo,560,31,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8142719,0.294111292923411,2.10838319292341,2.10838319292341,46,281.766548706837,0.89373,1.5252992,0.284244297698473,0.0807948207740983,0.0229654670886076,22.9654670886076
0,1,1,NaN,3,Refractivo,470,29,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9901934,1.15116991626782,2.14136331626782,2.14136331626782,282,1478.14678150613,0.73167,1.2487168,0.232290248541296,0.0539587595673771,0.0125340936708861,12.5340936708861
0,1,1,NaN,2,Refractivo,450,25,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.634375,1.54085863419754,2.17523363419754,2.17523363419754,474,2389.18082374483,0.46875,0.8,0.200250214259738,0.040100148311071,0.00803006329113924,8.03006329113924
0,1,2,NaN,2,Refractivo,590,32,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9955712,0.193481342856514,2.18905254285651,2.18905254285651,27,173.130823659846,0.98304,1.6777216,0.293413468591972,0.0860914635511724,0.0252603949367089,25.2603949367089
0,1,1,NaN,3,Refractivo,610,37,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0565118,0.142759596203824,2.19927139620382,2.19927139620382,19,125.427282159757,1.51959,2.5934336,0.296370317104412,0.0878353648605699,0.0260317949367089,26.0317949367089
0,1,2,NaN,2,Refractivo,580,32,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9955712,0.227535500721372,2.22310670072137,2.22310670072137,32,202.145271559013,0.98304,1.6777216,0.293413468591972,0.0860914635511724,0.0252603949367089,25.2603949367089
