MissionDay,Case,EccentricityVectorX,EccentricityVectorY,Eccentricity,ArgumentOfPerigee_deg,ObservedMinAltitude_km,ObservedMaxAltitude_km,ObservedVariation_km,MaxDeviationFromNominal_km,WithinMaintenanceHalfBand
99,1,1.63567412945196e-15,0.00105443013437988,0.00105443013437988,89.9999999999111,630.477776341326,630.74744088152,0.269664540193958,0.747440881519537,1
100,1,1.51815976158262e-15,0.00105443013437979,0.00105443013437979,89.9999999999175,630.477776341328,630.74744088152,0.269664540192025,0.747440881519537,1
101,1,1.39578028019497e-15,0.00105443013437971,0.00105443013437971,89.9999999999242,630.477776341329,630.74744088152,0.269664540190206,0.747440881519537,1
102,1,1.26892786408621e-15,0.00105443013437963,0.00105443013437963,89.9999999999311,630.477776341329,630.747440881519,0.269664540189297,0.747440881518628,1
103,1,1.13800902607538e-15,0.00105443013437956,0.00105443013437956,89.9999999999382,630.47777634133,630.747440881519,0.269664540188387,0.747440881518628,1
104,1,1.00344331028738e-15,0.0010544301343795,0.0010544301343795,89.9999999999455,630.477776341332,630.747440881519,0.269664540186454,0.747440881518628,1
105,1,8.65661947676636e-16,0.00105443013437945,0.00105443013437945,89.999999999953,630.477776341332,630.747440881517,0.269664540184635,0.747440881516809,1
106,1,7.25106474099111e-16,0.0010544301343794,0.0010544301343794,89.9999999999606,630.477776341334,630.747440881517,0.269664540182816,0.747440881516809,1
107,1,5.8222731536102e-16,0.00105443013437937,0.00105443013437937,89.9999999999684,630.477776341335,630.747440881515,0.269664540179974,0.747440881514876,1
108,1,4.37482343778738e-16,0.00105443013437934,0.00105443013437934,89.9999999999762,630.477776341335,630.747440881515,0.269664540179974,0.747440881514876,1
109,1,2.91335410875519e-16,0.00105443013437932,0.00105443013437932,89.9999999999842,630.477776341337,630.747440881514,0.269664540177132,0.747440881513967,1
110,1,1.44254860917177e-16,0.00105443013437931,0.00105443013437931,89.9999999999922,630.477776341337,630.747440881512,0.269664540175313,0.747440881512148,1
111,1,-3.28796994972999e-18,0.0010544301343793,0.0010544301343793,90.0000000000002,630.477776341339,630.747440881512,0.269664540173494,0.747440881512148,1
112,1,-1.50820264147536e-16,0.00105443013437931,0.00105443013437931,90.0000000000082,630.477776341337,630.747440881512,0.269664540175313,0.747440881512148,1
113,1,-2.97869237864515e-16,0.00105443013437932,0.00105443013437932,90.0000000000162,630.477776341337,630.747440881514,0.269664540177132,0.747440881513967,1
114,1,-4.43963656143722e-16,0.00105443013437934,0.00105443013437934,90.0000000000241,630.477776341335,630.747440881515,0.269664540179974,0.747440881514876,1
115,1,-5.88635343008355e-16,0.00105443013437937,0.00105443013437937,90.000000000032,630.477776341334,630.747440881515,0.269664540180884,0.747440881514876,1
116,1,-7.31420681784272e-16,0.00105443013437941,0.00105443013437941,90.0000000000398,630.477776341334,630.747440881517,0.269664540182816,0.747440881516809,1
117,1,-8.71862100811706e-16,0.00105443013437945,0.00105443013437945,90.0000000000474,630.477776341332,630.747440881517,0.269664540184635,0.747440881516809,1
118,1,-1.00950953978506e-15,0.00105443013437951,0.00105443013437951,90.0000000000549,630.47777634133,630.747440881519,0.269664540188387,0.747440881518628,1
119,1,-1.14392189202173e-15,0.00105443013437957,0.00105443013437957,90.0000000000622,630.47777634133,630.747440881519,0.269664540188387,0.747440881518628,1
120,1,-1.27466841803799e-15,0.00105443013437963,0.00105443013437963,90.0000000000693,630.477776341329,630.747440881519,0.269664540189297,0.747440881518628,1
121,1,-1.4013301259021e-15,0.00105443013437971,0.00105443013437971,90.0000000000762,630.477776341329,630.74744088152,0.269664540190206,0.747440881519537,1
122,1,-1.52350111394103e-15,0.00105443013437979,0.00105443013437979,90.0000000000828,630.477776341328,630.74744088152,0.269664540192025,0.747440881519537,1
123,1,-1.64078987149791e-15,0.00105443013437988,0.00105443013437988,90.0000000000892,630.477776341326,630.74744088152,0.269664540193958,0.747440881519537,1
124,1,-1.752820533572e-15,0.00105443013437998,0.00105443013437998,90.0000000000953,630.477776341326,630.747440881521,0.26966454019589,0.74744088152147,1
125,1,-1.85923408532025e-15,0.00105443013438008,0.00105443013438008,90.000000000101,630.477776341325,630.747440881521,0.2696645401968,0.74744088152147,1
126,1,-1.95968951256072e-15,0.00105443013438019,0.00105443013438019,90.0000000001065,630.477776341323,630.747440881521,0.269664540198619,0.74744088152147,1
127,1,-2.05386489459085e-15,0.0010544301343803,0.0010544301343803,90.0000000001116,630.477776341323,630.747440881521,0.269664540198619,0.74744088152147,1
128,1,-2.1414584358185e-15,0.00105443013438042,0.00105443013438042,90.0000000001164,630.477776341321,630.747440881521,0.269664540200552,0.74744088152147,1
129,1,-2.22218943289985e-15,0.00105443013438055,0.00105443013438055,90.0000000001208,630.477776341321,630.747440881521,0.269664540200552,0.74744088152147,1
130,1,-2.29579917428476e-15,0.00105443013438067,0.00105443013438067,90.0000000001248,630.47777634132,630.747440881521,0.269664540201461,0.74744088152147,1
131,1,-2.36205176928706e-15,0.0010544301343808,0.0010544301343808,90.0000000001284,630.47777634132,630.747440881521,0.269664540201461,0.74744088152147,1
132,1,-2.42073490402272e-15,0.00105443013438094,0.00105443013438094,90.0000000001315,630.477776341318,630.747440881521,0.26966454020328,0.74744088152147,1
133,1,-2.47166052179354e-15,0.00105443013438108,0.00105443013438108,90.0000000001343,630.477776341318,630.747440881521,0.26966454020328,0.74744088152147,1
134,1,-2.51466542573597e-15,0.00105443013438122,0.00105443013438122,90.0000000001367,630.477776341316,630.747440881521,0.269664540205213,0.74744088152147,1
135,1,-2.54961180180382e-15,0.00105443013438136,0.00105443013438136,90.0000000001385,630.477776341316,630.747440881521,0.269664540205213,0.74744088152147,1
136,1,-2.57638766040881e-15,0.00105443013438151,0.00105443013438151,90.00000000014,630.477776341315,630.747440881521,0.269664540206122,0.74744088152147,1
137,1,-2.59490719530383e-15,0.00105443013438166,0.00105443013438166,90.000000000141,630.477776341315,630.747440881521,0.269664540206122,0.74744088152147,1
138,1,-2.60511105855868e-15,0.0010544301343818,0.0010544301343818,90.0000000001416,630.477776341315,630.747440881521,0.269664540206122,0.74744088152147,1
139,1,-2.60696655074717e-15,0.00105443013438195,0.00105443013438195,90.0000000001417,630.477776341314,630.74744088152,0.269664540206008,0.747440881519537,1
140,1,-2.60046772573612e-15,0.0010544301343821,0.0010544301343821,90.0000000001413,630.477776341314,630.74744088152,0.269664540206008,0.747440881519537,1
141,1,-2.58563540974041e-15,0.00105443013438224,0.00105443013438224,90.0000000001405,630.477776341314,630.74744088152,0.269664540206008,0.747440881519537,1
142,1,-2.56251713458304e-15,0.00105443013438239,0.00105443013438239,90.0000000001393,630.477776341314,630.747440881519,0.269664540205099,0.747440881518628,1
143,1,-2.53118698537403e-15,0.00105443013438253,0.00105443013438253,90.0000000001375,630.477776341314,630.747440881519,0.269664540205099,0.747440881518628,1
144,1,-2.4917453630964e-15,0.00105443013438268,0.00105443013438268,90.0000000001354,630.477776341314,630.747440881517,0.26966454020328,0.747440881516809,1
145,1,-2.44431866285995e-15,0.00105443013438282,0.00105443013438282,90.0000000001328,630.477776341312,630.747440881517,0.269664540205213,0.747440881516809,1
146,1,-2.38905886885387e-15,0.00105443013438295,0.00105443013438295,90.0000000001298,630.477776341312,630.747440881515,0.26966454020328,0.747440881514876,1
147,1,-2.32614306729638e-15,0.00105443013438309,0.00105443013438309,90.0000000001264,630.477776341312,630.747440881515,0.26966454020328,0.747440881514876,1
148,1,-2.25577287894205e-15,0.00105443013438322,0.00105443013438322,90.0000000001226,630.477776341314,630.747440881514,0.269664540200438,0.747440881513967,1
